location,latitude,longitude
nuevo cuscatlán,13.649671,-89.26810189999999
san salvador,13.6929403,-89.2181911
santa tecla,13.6757837,-89.2894733
la paz,13.495364,-88.9796776
cuscatlán,13.8661957,-89.0561532
santa ana,13.9778279,-89.56391190000001
antiguo cuscatlán,13.6640938,-89.25147179999999
usulután,13.3453114,-88.4428112
la libertad,13.6817661,-89.3606298
colón,13.707793,-89.3487791
mejicanos,13.7344714,-89.2179286
ahuachapán,13.9259486,-89.84113819999999
el salvador,13.794185,-88.89653
zaragoza,13.5860809,-89.2918473
la unión,13.3323464,-87.8500644
quezaltepeque,13.8263447,-89.270477
apopa,13.8028238,-89.1798446
chalatenango,14.0411955,-88.9395184
ilopango,13.6992804,-89.105744
san miguel,13.4792922,-88.1779182
san juan opico,13.8758656,-89.3582599
cuscatancingo,13.7565422,-89.184883
soyapango,13.710045,-89.13725269999999
san martín,13.7387443,-89.0657027
delgado,13.7448611,-89.1563115
chalchuapa,13.9896097,-89.6769193
nejapa,13.8146377,-89.23245759999999
san marcos,13.6522763,-89.1753614
sonsonate,13.7099653,-89.7286147
tonacatepeque,13.7809407,-89.11937689999999
cabañas,13.8648288,-88.7493998
coatepeque,13.9283912,-89.5002027
ayutuxtepeque,13.7421144,-89.2015405
san vicente,13.6390979,-88.7830612
